id,Tweets
1479007625693917184,"#WestBengal has #flight restrictions penalised
#public wt hapns to the bookings #noidea I had one with @flyspicejet  solution #goroundrobin  Call cust care #noresponse whose #money #lost #public who loosing #me #public thisis #NewNormal @PTI_News @aajtak @TOIIndiaNews @IndiGo6E"
1479004123143966723,@mishralokk @IndiGo6E You guys took money for web check-in as well and then cancelled... Disgusting..
1479003857795514372,@IndiGo6E @amankiet07 already shared in the thread and now in DM as well
1479003470933868544,"Payment has done but didn't loaded for next page
Please respond @IndiGo6E https://t.co/BzwHJYKSGc"
1479003422774861824,"I have enough of proof to prove their agenda @travolook 
While i am going to file case at  consumer affairs, cybercrime and other places.. this is for @IndiGo6E @flyspicejet @airindiain to act on this (2/2)"
1479003130025025536,"@IndiGo6E I booked a flight for 8th Jan. I could not book the ticket under student category. My luggage weight is beyond the regular capacity allowed. If Indigo can allow me to carry the extra luggage under student category, it would be of great help. I have a valid student id."
1479003078674182144,@jagograhakjago @IndiGo6E @flyspicejet @airindiain Please note there is fraud travel agent by name @travolook which offers attractive discounts to lure customers knowing that flights do cancel and they can retain the refunded amount by airline. They donot refund the fares (1/2)
1479002987531882496,"@IndiGo6E #today reinstated four weekly #flights between #Delhi-#PortBlair effective #January 9, #2022.

https://t.co/t9rZFXeZJY"
1479002858733244416,"RT @NirajPalve: @makemytripcare My @IndiGo6E flight to Phuket Booking ID NN7012955798674 &amp; NN2012955798520 was canceled,refund amount is cr…"
1479002201099960320,"@makemytripcare My @IndiGo6E flight to Phuket Booking ID NN7012955798674 &amp; NN2012955798520 was canceled,refund amount is credited to my MMT Wallet and it won’t get transferred to my original payment account ,tried customer care but IVR unable to help req intervene@DGCAIndia @Pib_MoCA @deepkalra"
1479002114005213187,"@IndiGo6E No bank/credit card charges online convenience fee. There's a 2.5% charge (not=₹300) that RBI says has to be borne by the retailer, not customer. A friend arrived from Kolkata today, bought a seat for web checkin, didn't have to pay.@RBI @HDFC_Bank @DinersClub @Visa @Mastercard"
1479001539070988289,"RT @arvindpandey732: There's only one job in this world that gives you an office in the sky; and that is pilot.""❤️✈️@airindiain @Dchautala…"
1479001255196258304,"RT @aaigoaairport: Just to inform all, the Runway lights have been rectified and operations returned to normal @AAI_Official @aairedwr @air…"
1479001200020242433,Thank you @IndiGo6E for keeping me in Srinagar for two more days… as you didn’t rescheduled my flight for three days …keep your unprofessional attitude fly high
1479000530944856064,@rpramodhkumar @RajivSi53259510 @IndiGo6E 😂🙏🏻
1479000444395425792,"@DGCAIndia @JM_Scindia @PMOIndia 
 please help me to resolve refund issue from @makemytrip, they are withholding refund amount cleared by  @IndiGo6E and there is no response to my queries...please help..."
1478999547162423296,@IndiGo6E I am travelling to dehradun on 8th Jan. I am fully vaccinated its been more than 15 days after my 2nd dose. Do I still need to carry a negative RT-PCR?
1478999372947812352,@RajivSi53259510 @MalayaliPilot @IndiGo6E Myntra airways 🤔 https://t.co/SokClM4zZr
1478999329213804544,"@IndiGo6E Hello,

Tha ks for the help, the tickets are rescheduled."
1478998846088880128,@IndiGo6E @IndiGo6E is ur complaint redress system is sleeping? My refund issue is pending from 8th Dec 21. Escalated to ur nodal officer on 24th Dec...your team blindly giving feedback to mobiwik that the services has been done.What is happening? My ticket no is 4255264(latest)
1478998597731446788,@Sanj_eev24 @IndiGo6E @CMOGuj @CMO_Odisha Kindly help
1478998447554367495,@IndiGo6E kindly revert back to mails it’s been 3 days my agent is contacting you but there is no response from your side. Kindly refund my money as I mentioned I’m covid positive.
1478998336686346240,@MalayaliPilot @IndiGo6E Tie is not of Indigo
1478998233359605763,Good Job @IndiGo6E #indigo 🙏🙏🙏 https://t.co/ayDEpcD4dD
1478998048277549056,"इंडिगो एयरलाइंस वालों को शुक्रिया कहना की ख़राब मौसम के बाद भी मैं ज़िंदा लौट आया।
@IndiGo6E @ShayarImran https://t.co/rsF69XAoQx"
1478997764742647808,@aaichnairport @cirium @IndiGo6E Strange how MAA airport is the best considering they damage the luggage each time I come there &amp; fly out from the city. 😣😤
1478997209156767744,"RT @Sanj_eev24: @IndiGo6E kindly help, my grandmother got death so my father &amp; mother are traveling emergency from Ahmedabad to bhubneswar…"
1478997107407081478,"RT @Sanj_eev24: @IndiGo6E kindly help, my grandmother got death so my father &amp; mother are traveling emergency from Ahmedabad to bhubneswar…"
1478997094027325444,@IndiGo6E Thank u Keshav for explaining this clearly!! Looking fwd to flying with u guys asap!👍👍
1478996847834271745,"@IndiGo6E kindly help, my grandmother got death so my father &amp; mother are traveling emergency from Ahmedabad to bhubneswar but due to heavy traffic on road I think they can loss the flight kindly help for next flight ahmedabad to bhubneswar 
@CMOGuj @CMO_Odisha https://t.co/Ddu7ywSp6i"
1478996556691001344,"RT @jadavsanj1993: @IndiGo6E kindly help, my grandmother got death so my father &amp; mother are traveling emergency from Ahmedabad to bhubnesw…"
1478996453833928704,"RT @jadavsanj1993: @IndiGo6E kindly help, my grandmother got death so my father &amp; mother are traveling emergency from Ahmedabad to bhubnesw…"
1478996354680590336,@IndiGo6E @AAI_Official @PuneAirport
1478996041424797696,@IndiGo6E hi I'm flying from Bangalore to delhi on 7th January 2022 do I need to Carry itpcr test report
1478994650639654914,"@IndiGo6E kindly help, my grandmother got death so my father &amp; mother are traveling emergency from Ahmedabad to bhubneswar but due to heavy traffic on road I think they can loss the flight kindly help for next flight ahmedabad to bhubneswar 
@CMOGuj @CMO_Odisha https://t.co/Mj5IBI5Tg3"
1478993923863302144,"@IndiGo6E Hi team, one of my relative got selection letter from indigo and they are asking for 2500 before proceeding with application. Can you please confirm if that's the rule of Indigo or its someone doing fake ."
1478993791402995712,"@VivekKMS @BLRAirport @IndiGo6E It's time to bring empathy with the right technology. Public places like airports, railway stations etc need better maintenance and management. From plane to escalators need to be serviced and running properly 24*7 @JM_Scindia @MoCA_GoI"
1478993364804534274,"RT @TrichyTreasures: ✈Tiruchirappalli-NewDelhi direct flight services from January 10 by IndiGo.✈❤
🛫ஜனவரி 10 முதல் திருச்சிராப்பள்ளி - புது…"
1478992803313033216,@IndiGo6E Thanks Keshav for the update
1478992653270142976,@Victyy32 @IndiGo6E May be he thinks he’ll get a good girlfriend 😂
1478991736848351237,@IndiGo6E Hello! I have responded you via DM. I expect a call from you now. The experience was horrendous &amp; we hope you people won't repeat it in future!
1478991731391483908,@MalayaliPilot @IndiGo6E https://t.co/cUqOnIvjfa
